"056","3","FT056","FT056","H056-02","H056-05",,,"PBVN","PFNI","ENFS","exit","PLDM","none",NULL
"049","3","FT049","FT049","H049-18","H049-19",,,"PMEC","PCTN","ENLC","ENLC","PCTN","PCTN",NULL
"042","3","FT042","FT042","H042-01","H042-02",,,"PBLK","PBKZ","ENID","ENIB","PBQQ","PBLK",NULL
"033","3","FT033","FT033","H033-01","H033-02",,,"PFXF","PBIG","ENFJ","ENFG","PFQC","PBQA",NULL
"084","2","FT084","FT084","H084-01","H084-02",,,"PHTZ","PAOV","ENXZ","ENYA","PHTZ","PAOV",NULL
"081","2","FT081","FT081","H081-01","H081-02",,,"PJFN","PJGB","ENWS","ENWU","PJFN","PNFI",NULL
"054","2","FT054","FT054","H054-01","H054-02",,,"PHUV","POKD","ENMR","ENMS","PHUV","POKD",NULL
"092","1","FT092","FT092","H092-02","H092-03",,,"PMLG","PMOD","EOBP","EOBP","PMOD","PMOD",NULL
"091","1","FT091","FT091","H091-02","H091-03",,,"POSI","PPBR","EOBB","EOBB","PONC","PONC",NULL
"090","1","FT090","FT090","H090-01","H090-02",,,"PFKN","PFVW","EOAN","EOAO","PFKN","PFVW",NULL
"087","1","FT087","FT087","H087-01","H087-02",,,"PLOX","PKQU","H087","H087","PLOX","PKQU",NULL
"089","1","FT089","FT089","H089-01","H089-02",,,"PNXV","PNRP","EOAG","EOAH","PNXV","PNRP",NULL
"058","3","FT058","FT058","H058-18","H058-19",,,"PAXH","PAFI","ENOL","ENOL","PAFI","PAFI",NULL
"051","3","FT051","FT051","H051-01","H051-02",,,"PBYN","PFPM","ENLM","ENLK","PCAW","PBYN",NULL
"047","3","FT047","FT101","H047-02","H047-05",,,"PANS","PFOM","ENKC","ENKB","PCEA","PBVP","Spare fiber FT101 was installed."
"038","3","FT038","FT038","H038-01","H038-02",,,"PLZD","PLXM","ENGN","ENGO","PLZD","PLXM",NULL
"040","3","FT040","FT040","H040-16","H040-19",,,"POAU","PJQX","ENHT","ENHT","PJQX","PJQX",NULL
"088","2","FT088","FT088","H088-02","H088-03",,,"PLZT","PLYA",,,"PKHG","PKHG","cell 8"
"083","2","FT083","FT083","H083-01","H083-02",,,"PORE","POLA","ENXS","ENXT","PORE","POLA",NULL
"080","2","FT080","FT080","H080-01","H080-02",,,"PKYH","PKJP","ENWL","ENWM","PKYH","PKJP",NULL
"053","2","FT053","FT053","H053-01","H053-02",,,"PHJZ","PAHH","ENMK","ENML","PHJZ","PAHH",NULL
"037","2","FS237","FS237","H037-01","H037-03",,,"PJHI","PJCV","ENGM","ENGL","PNNQ","PJBG",NULL
"089","1","FA189","FA189","H089-01","H089-03",,,"PNXV","PODO","EOAG","EOAI","PNXV","PODO",NULL
"077","1","FT077","FT077","H077-01","H077-02",,,"PKHM","PLRQ","ENVQ","ENVR","PKHM","PLRQ",NULL
"078","1","FT078","FT078","H078-01","H078-02",,,"PGME","PIYH","ENVX","ENVY","PGME","PIYH",NULL
"037","2","FS137","FS137","H037-01","H037-03",,,"PJHI","PJCV","ENGM","ENGL","PNNQ","PJBG",NULL
"037","2","FS037","FS037","H037-01","H037-03",,,"PJHI","PJCV","ENGM","ENGL","PNNQ","PJBG",NULL
"036","2","FT036","FT036","H036-01","H036-02",,,"PJCF","PJER","ENFZ","ENFZ","PJCF","PJCF",NULL
"037","2","FT037","FT037","H037-01","H037-02",,,"PJHI","PJCT","ENGL","ENGM","PJBG","PNNQ",NULL
"007","5","FT007",,"H007-03","H007-01",,,"PBRQ","PAZZ",,,,,NULL
"006","5","FT006",,"H006-06","H006-07",,,"PGXV","PIWL",,,,,NULL
"005","5","FT005",,"H005-01","H005-02",,,"PHGP","PIQU",,,,,NULL
"061","4","FT061",,"H061-04","H061-08",,,"PHIR","PGHO",,,,,NULL
"059","4","FT059",,"H059-01","H059-02",,,"PIHT","PHXC","
",,,,NULL
"050","4","FA150",,"H050-01","H050-03",,,"PICQ","PHQT",,,,,NULL
"052","4","FT052",,"H052-04","H052-08",,,"PAIS","PAOQ",,,,,NULL
"057","4","FT057",,"H057-02","H057-05",,,"PKAG","PJSH",,,,,NULL
"041","4","FT041",,"H041-01","H041-02",,,"PHAP","PIQD",,,,,NULL
"032","4","FT032",,"H032-02","H032-05",,,"PHOG","PIHW",,,,,NULL
"039","4","FT039",,"H039-01","H039-02",,,"PHOI","PFCW",,,,,NULL
"071","1","FT071","FT071","H071-01","H071-02",,,"PLGI","PLDI","ENTC","ENTE","PLGI","PKXM",NULL
"072","1","FT072","FT072","H072-01","H072-02",,,"PPNA","PPLO","ENTJ","ENTK","PPNA","PPLO",NULL
"055","1","FS155","FS155","H055-01","H055-03",,,"PHGM","PFCK","H055","H055","PFCK","PHGM",NULL
"055","1","FS255","FS255","H055-01","H055-03",,,"PHGM","PFCK","H055","H055","PFCK","PHGM",NULL
"007","5","FS107",,"H007-03","H007-06",,,"PBRQ","PBJN",,,,,NULL
"007","5","FS007",,"H007-03","H007-06",,,"PBRQ","PBJN",,,,,NULL
"004","5","FT004",,"H004-03","H004-01",,,"PBSE","PBWB",,,,,NULL
"076","4","FT076",,"H076-04","H076-08",,,"PIRE","PIQY",,,,,NULL
"074","4","FT074",,"H074-02","H074-05",,,"PISD","PILD",,,,,NULL
"050","4","FA050",,"H050-01","H050-03",,,"PICQ","PHQT",,,,,NULL
"050","4","FT050",,"H050-01","H050-02",,,"PICQ","PHQY",,,,,NULL
"048","4","FT048",,"H048-02","H048-05",,,"PKUL","PKPP",,,,,NULL
"073","3","FA173","FA173","H073-01","H073-03",,,"PNJE","PNLV","ENTS","ENTQ","PNLV","PNJE",
"064","1","FT064","FT064","H064-01","H064-02",,,"PNHF","PNAY",,,"PNHF","PJNP",NULL
"063","1","FT063","FT063","H063-01","H063-02",,,"PHHY","PCQM","ENQA","ENQC","PHHY","PFJV",NULL
"062","1","FT062","FT062","H062-01","H062-02",,,"PNOC","PEKP","ENPT","ENPU","PNOC","PEKP",NULL
"055","1","FT055","FT055","H055-01","H055-02",,,"PHGM","PFMG","ENMY","ENMZ","PHGM","PFMG",NULL
"055","1","FS055","FS055","H055-01","H055-03",,,"PHGM","PFCK","H055","H055","PFCK","PHGM",NULL
"085","2","FT085","FT085","H085-02","H085-03",,,"PMHA","PMLX","ENYN","ENYN","PFKK","PFKK",NULL
"082","2","FT082","FT082","H082-02","H082-03",,,"PKGQ","PKQK","H082","H082","PKQK","PKQK",NULL
"089","1","FA089","FA089","H089-01","H089-03",,,"PNXV","PODO","EOAG","EOAI","PNXV","PODO",NULL
"079","1","FT079","FT079","H079-01","H079-02",,,"PNOJ","PMUR","ENWE","hex2","PNOJ","PMUR","Installed in same node, probably same position - check in paper log; looked in PMT database for hex2"
"086","1","FT086","FT086","H086-01","H086-02",,,"PJMG","PJRI","ENZA","ENYZ","PJRI","PJMG",NULL
"068","4","FT068",,"H068-01","H068-02",,,"PIIK","PGUO",,,,,NULL
"043","4","FT043",,"H043-04","H043-08",,,"PHHJ","PECF",,,,,NULL
"075","3","FT075","FT075","H075-16","H075-19",,,"PKNT","PKNK","ENUW","ENUW","PKNK","PKNK",NULL
"046","2","FT046","FT046","H046-01","H046-02",,,"POFG","PMPG","ENJR","pmt1","PMPB","POFG","Installed in same node, different pmt,
no cable for neighbour - check paper log - from PMT table seems to be 3/1"
"045","2","FT045","FT045","H045-01","H045-02",,,"POWF","PONJ","ENJM","ENJO","PMFK","PNXB",NULL
"044","2","FT044","FT044","H044-01","H044-02",,,"PNWC","POAA","ENJC","ENJF","POAA","PNWM",NULL
"034","2","FT034","FT034","H034-01","H034-02",,,"PKFY","PKFY","ENFR","ENFP","PNMF","PKHC",NULL
"035","2","FT035","FT035","H035-01","H035-02",,,"PLDM","PNAG","ENFW","ENFY","PMQX","PJXQ",NULL
"091","1","FT093","FT093","H091-18","H091-19",,,"POQB","POHT","EOBM","EOBM","POHT","POHT",NULL
"067","8","FT067",,"H067-16","H067-19",,,"PFMZ","PMIE",,,,,NULL
"069","8","FT069","FT069","H069-01","H069-02","H069-03","H069-03","PCVL","PCZZ",,,"PCOO","PCOO",NULL
"070","8","FT070",,"H070-18","H070-19",,,"PEYN","PCPT",,,,,NULL
"067","8","FT094","FT094","H067-02","H067-03","H067-19","H067-19","PNUA","PMSV","ENRU","ENRU","PMIE","PMIE",NULL
"070","8","FT095",,"H070-04","H070-08",,,"PFCT","PHRO",,,,,NULL
"001","6","FT001","FT001","H273-01","H273-01",,,"PFGC","PIBV",,,"PIBV","PFGC","Entry added by Dimpal on Jan 08, 2015"
"H273","3","FT001","FT001",,,,,"PFGC","PIBV",,,"PIBV","PFGC",NULL
